,Country,Requests,Dates
93,MU,3264000,2015-05-01 00:00:00
94,TZ,3244000,2015-05-01 00:00:00
95,KZ,3150000,2015-05-01 00:00:00
96,MM,3132000,2015-05-01 00:00:00
97,KH,3119000,2015-05-01 00:00:00
98,PA,2681000,2015-05-01 00:00:00
99,AZ,2499000,2015-05-01 00:00:00
100,TN,2468000,2015-05-01 00:00:00
101,LU,2238000,2015-05-01 00:00:00
102,GT,2108000,2015-05-01 00:00:00
103,UY,2105000,2015-05-01 00:00:00
104,MD,2104000,2015-05-01 00:00:00
105,AM,2048000,2015-05-01 00:00:00
106,AF,2041000,2015-05-01 00:00:00
107,FJ,1970000,2015-05-01 00:00:00
108,BN,1685000,2015-05-01 00:00:00
109,MN,1658000,2015-05-01 00:00:00
110,SD,1656000,2015-05-01 00:00:00
111,ZW,1628000,2015-05-01 00:00:00
112,SV,1528000,2015-05-01 00:00:00
113,BB,1444000,2015-05-01 00:00:00
114,BS,1402000,2015-05-01 00:00:00
115,HN,1319000,2015-05-01 00:00:00
116,ZM,1250000,2015-05-01 00:00:00
117,ME,1240000,2015-05-01 00:00:00
118,BO,1208000,2015-05-01 00:00:00
119,PS,1097000,2015-05-01 00:00:00
120,CM,1022000,2015-05-01 00:00:00
121,MO,1020000,2015-05-01 00:00:00
122,SN,1019000,2015-05-01 00:00:00
123,MV,1017000,2015-05-01 00:00:00
124,JE,969000,2015-05-01 00:00:00
125,BW,964000,2015-05-01 00:00:00
126,NA,933000,2015-05-01 00:00:00
127,IM,932000,2015-05-01 00:00:00
128,NI,920000,2015-05-01 00:00:00
129,AO,895000,2015-05-01 00:00:00
130,GU,857000,2015-05-01 00:00:00
131,PY,851000,2015-05-01 00:00:00
132,GY,818000,2015-05-01 00:00:00
133,CU,788000,2015-05-01 00:00:00
134,SY,755000,2015-05-01 00:00:00
135,PG,730000,2015-05-01 00:00:00
136,UZ,705000,2015-05-01 00:00:00
137,LY,684000,2015-05-01 00:00:00
138,SR,614000,2015-05-01 00:00:00
139,RW,594000,2015-05-01 00:00:00
140,BZ,588000,2015-05-01 00:00:00
141,GG,579000,2015-05-01 00:00:00
142,CI,565000,2015-05-01 00:00:00
143,CW,560000,2015-05-01 00:00:00
144,MZ,554000,2015-05-01 00:00:00
145,TM,538000,2015-05-01 00:00:00
146,LC,522000,2015-05-01 00:00:00
147,KG,522000,2015-05-01 00:00:00
148,KN,507000,2015-05-01 00:00:00
149,LI,488000,2015-05-01 00:00:00
150,BM,474000,2015-05-01 00:00:00
151,MW,458000,2015-05-01 00:00:00
152,LA,454000,2015-05-01 00:00:00
153,AW,446000,2015-05-01 00:00:00
154,KY,442000,2015-05-01 00:00:00
155,BT,433000,2015-05-01 00:00:00
156,AG,426000,2015-05-01 00:00:00
157,SO,382000,2015-05-01 00:00:00
158,LR,371000,2015-05-01 00:00:00
159,VI,368000,2015-05-01 00:00:00
160,HT,360000,2015-05-01 00:00:00
161,GI,328000,2015-05-01 00:00:00
162,FO,318000,2015-05-01 00:00:00
163,RE,317000,2015-05-01 00:00:00
164,YE,316000,2015-05-01 00:00:00
165,MG,308000,2015-05-01 00:00:00
166,CD,294000,2015-05-01 00:00:00
167,DJ,288000,2015-05-01 00:00:00
168,GD,284000,2015-05-01 00:00:00
169,DM,248000,2015-05-01 00:00:00
170,MQ,215000,2015-05-01 00:00:00
171,GP,192000,2015-05-01 00:00:00
172,SL,192000,2015-05-01 00:00:00
173,SC,191000,2015-05-01 00:00:00
174,GA,185000,2015-05-01 00:00:00
175,XK,181000,2015-05-01 00:00:00
176,MP,173000,2015-05-01 00:00:00
177,LS,163000,2015-05-01 00:00:00
178,BJ,156000,2015-05-01 00:00:00
179,SX,155000,2015-05-01 00:00:00
180,TJ,153000,2015-05-01 00:00:00
181,MC,145000,2015-05-01 00:00:00
182,ML,144000,2015-05-01 00:00:00
183,VC,139000,2015-05-01 00:00:00
184,GM,138000,2015-05-01 00:00:00
185,TG,135000,2015-05-01 00:00:00
186,VG,134000,2015-05-01 00:00:00
187,SZ,133000,2015-05-01 00:00:00
188,TC,119000,2015-05-01 00:00:00
189,GF,117000,2015-05-01 00:00:00
190,AX,113000,2015-05-01 00:00:00
191,NC,113000,2015-05-01 00:00:00
192,SS,111000,2015-05-01 00:00:00
193,PF,105000,2015-05-01 00:00:00
194,CV,98000,2015-05-01 00:00:00
195,VU,97000,2015-05-01 00:00:00
196,GN,95000,2015-05-01 00:00:00
197,MR,94000,2015-05-01 00:00:00
198,GL,86000,2015-05-01 00:00:00
199,KP,86000,2015-05-01 00:00:00
200,AS,84000,2015-05-01 00:00:00
201,AD,81000,2015-05-01 00:00:00
202,BF,78000,2015-05-01 00:00:00
203,CG,72000,2015-05-01 00:00:00
204,BQ,64000,2015-05-01 00:00:00
205,TD,64000,2015-05-01 00:00:00
206,TL,61000,2015-05-01 00:00:00
207,SB,58000,2015-05-01 00:00:00
208,BI,56000,2015-05-01 00:00:00
209,WS,52000,2015-05-01 00:00:00
210,NE,51000,2015-05-01 00:00:00
211,MF,42000,2015-05-01 00:00:00
212,MH,41000,2015-05-01 00:00:00
213,AI,38000,2015-05-01 00:00:00
214,FM,38000,2015-05-01 00:00:00
215,PM,37000,2015-05-01 00:00:00
216,GQ,34000,2015-05-01 00:00:00
217,ER,32000,2015-05-01 00:00:00
218,CK,31000,2015-05-01 00:00:00
219,YT,29000,2015-05-01 00:00:00
220,FK,24000,2015-05-01 00:00:00
221,SM,23000,2015-05-01 00:00:00
222,PW,21000,2015-05-01 00:00:00
223,KI,19000,2015-05-01 00:00:00
224,TO,19000,2015-05-01 00:00:00
225,BL,17000,2015-05-01 00:00:00
226,VA,14000,2015-05-01 00:00:00
227,GW,12000,2015-05-01 00:00:00
228,MS,8000,2015-05-01 00:00:00
229,ST,7000,2015-05-01 00:00:00
230,KM,6000,2015-05-01 00:00:00
231,IO,5000,2015-05-01 00:00:00
232,CF,5000,2015-05-01 00:00:00
233,NU,3000,2015-05-01 00:00:00
234,NR,2000,2015-05-01 00:00:00
235,TV,2000,2015-05-01 00:00:00
236,WF,2000,2015-05-01 00:00:00
237,SH,1000,2015-05-01 00:00:00
238,CX,1000,2015-05-01 00:00:00
239,NF,1000,2015-05-01 00:00:00
240,US,3323667000,2015-06-01 00:00:00
241,GB,736195000,2015-06-01 00:00:00
242,IN,445937000,2015-06-01 00:00:00
243,CA,346385000,2015-06-01 00:00:00
244,IR,269765000,2015-06-01 00:00:00
245,AU,231541000,2015-06-01 00:00:00
246,--,195576000,2015-06-01 00:00:00
247,DE,155148000,2015-06-01 00:00:00
248,PH,121142000,2015-06-01 00:00:00
249,FR,88832000,2015-06-01 00:00:00
250,NL,73001000,2015-06-01 00:00:00
251,CN,72405000,2015-06-01 00:00:00
252,MY,61207000,2015-06-01 00:00:00
253,SG,59170000,2015-06-01 00:00:00
254,IE,58456000,2015-06-01 00:00:00
255,BR,54842000,2015-06-01 00:00:00
256,IT,54637000,2015-06-01 00:00:00
257,JP,50480000,2015-06-01 00:00:00
258,RU,49703000,2015-06-01 00:00:00
259,SE,47615000,2015-06-01 00:00:00
260,ID,47091000,2015-06-01 00:00:00
261,NO,45618000,2015-06-01 00:00:00
262,ES,43856000,2015-06-01 00:00:00
263,PL,43454000,2015-06-01 00:00:00
264,NZ,43393000,2015-06-01 00:00:00
265,PK,39246000,2015-06-01 00:00:00
266,ZA,37501000,2015-06-01 00:00:00
267,MX,36628000,2015-06-01 00:00:00
268,KR,36073000,2015-06-01 00:00:00
269,TR,35889000,2015-06-01 00:00:00
270,GR,30250000,2015-06-01 00:00:00
271,SA,29284000,2015-06-01 00:00:00
272,AE,29262000,2015-06-01 00:00:00
273,RO,29041000,2015-06-01 00:00:00
274,DK,27650000,2015-06-01 00:00:00
275,FI,27115000,2015-06-01 00:00:00
276,HK,26836000,2015-06-01 00:00:00
277,BE,26450000,2015-06-01 00:00:00
278,TH,25920000,2015-06-01 00:00:00
279,IL,24060000,2015-06-01 00:00:00
280,CH,22345000,2015-06-01 00:00:00
281,TW,21811000,2015-06-01 00:00:00
282,VN,21747000,2015-06-01 00:00:00
283,UA,19986000,2015-06-01 00:00:00
284,PT,18810000,2015-06-01 00:00:00
285,RS,17633000,2015-06-01 00:00:00
286,CZ,17454000,2015-06-01 00:00:00
287,HU,16889000,2015-06-01 00:00:00
288,HR,15423000,2015-06-01 00:00:00
289,AR,15244000,2015-06-01 00:00:00
290,AT,15101000,2015-06-01 00:00:00
291,NG,14550000,2015-06-01 00:00:00
292,BG,13821000,2015-06-01 00:00:00
293,BD,13094000,2015-06-01 00:00:00
294,EG,12262000,2015-06-01 00:00:00
295,KP,10887000,2015-06-01 00:00:00
296,CL,10274000,2015-06-01 00:00:00
297,CO,9920000,2015-06-01 00:00:00
298,SI,9164000,2015-06-01 00:00:00
299,LK,9100000,2015-06-01 00:00:00
300,KE,8023000,2015-06-01 00:00:00
301,SK,7905000,2015-06-01 00:00:00
302,PE,6852000,2015-06-01 00:00:00
303,LT,6702000,2015-06-01 00:00:00
304,QA,6434000,2015-06-01 00:00:00
305,KW,6326000,2015-06-01 00:00:00
306,PR,6141000,2015-06-01 00:00:00
307,EE,6122000,2015-06-01 00:00:00
308,NP,5923000,2015-06-01 00:00:00
309,VE,5857000,2015-06-01 00:00:00
310,MA,5546000,2015-06-01 00:00:00
311,BA,5494000,2015-06-01 00:00:00
312,GH,5084000,2015-06-01 00:00:00
313,LV,5064000,2015-06-01 00:00:00
314,LB,4933000,2015-06-01 00:00:00
315,MK,4905000,2015-06-01 00:00:00
316,AL,4423000,2015-06-01 00:00:00
317,GE,4366000,2015-06-01 00:00:00
318,TT,4203000,2015-06-01 00:00:00
319,DZ,4016000,2015-06-01 00:00:00
320,IQ,3705000,2015-06-01 00:00:00
321,OM,3607000,2015-06-01 00:00:00
322,JM,3581000,2015-06-01 00:00:00
323,CY,3477000,2015-06-01 00:00:00
324,CR,3465000,2015-06-01 00:00:00
325,TN,3400000,2015-06-01 00:00:00
326,MT,3366000,2015-06-01 00:00:00
327,JO,3303000,2015-06-01 00:00:00
328,BH,3278000,2015-06-01 00:00:00
329,EC,3206000,2015-06-01 00:00:00
330,MM,3104000,2015-06-01 00:00:00
331,DO,3037000,2015-06-01 00:00:00
332,TZ,2986000,2015-06-01 00:00:00
333,MU,2937000,2015-06-01 00:00:00
334,IS,2899000,2015-06-01 00:00:00
335,KH,2780000,2015-06-01 00:00:00
336,BY,2739000,2015-06-01 00:00:00
337,AF,2565000,2015-06-01 00:00:00
338,KZ,2546000,2015-06-01 00:00:00
339,PA,2539000,2015-06-01 00:00:00
340,MD,2510000,2015-06-01 00:00:00
341,ET,2506000,2015-06-01 00:00:00
342,AZ,2442000,2015-06-01 00:00:00
343,LU,2161000,2015-06-01 00:00:00
344,UG,2038000,2015-06-01 00:00:00
345,UY,1969000,2015-06-01 00:00:00
346,GT,1908000,2015-06-01 00:00:00
347,AM,1805000,2015-06-01 00:00:00
348,BN,1606000,2015-06-01 00:00:00
349,ZW,1491000,2015-06-01 00:00:00
350,MN,1359000,2015-06-01 00:00:00
351,SV,1345000,2015-06-01 00:00:00
352,FJ,1307000,2015-06-01 00:00:00
353,ME,1258000,2015-06-01 00:00:00
354,BS,1253000,2015-06-01 00:00:00
355,BB,1207000,2015-06-01 00:00:00
356,ZM,1133000,2015-06-01 00:00:00
357,HN,1128000,2015-06-01 00:00:00
358,BO,1072000,2015-06-01 00:00:00
359,SD,1065000,2015-06-01 00:00:00
360,MV,931000,2015-06-01 00:00:00
361,JE,927000,2015-06-01 00:00:00
362,BW,923000,2015-06-01 00:00:00
363,AO,905000,2015-06-01 00:00:00
364,PS,887000,2015-06-01 00:00:00
365,IM,869000,2015-06-01 00:00:00
366,MO,854000,2015-06-01 00:00:00
367,NA,852000,2015-06-01 00:00:00
368,PY,830000,2015-06-01 00:00:00
369,GU,769000,2015-06-01 00:00:00
370,NI,745000,2015-06-01 00:00:00
371,SN,724000,2015-06-01 00:00:00
372,CM,713000,2015-06-01 00:00:00
373,GY,688000,2015-06-01 00:00:00
374,SY,656000,2015-06-01 00:00:00
375,UZ,656000,2015-06-01 00:00:00
376,SR,593000,2015-06-01 00:00:00
377,TM,578000,2015-06-01 00:00:00
378,LY,568000,2015-06-01 00:00:00
379,PG,556000,2015-06-01 00:00:00
380,RW,545000,2015-06-01 00:00:00
381,GG,528000,2015-06-01 00:00:00
382,CW,505000,2015-06-01 00:00:00
383,MZ,500000,2015-06-01 00:00:00
384,CI,467000,2015-06-01 00:00:00
385,BZ,466000,2015-06-01 00:00:00
386,CU,450000,2015-06-01 00:00:00
387,BM,448000,2015-06-01 00:00:00
388,KG,440000,2015-06-01 00:00:00
389,AW,430000,2015-06-01 00:00:00
390,LA,424000,2015-06-01 00:00:00
391,KY,419000,2015-06-01 00:00:00
392,LC,415000,2015-06-01 00:00:00
393,AG,381000,2015-06-01 00:00:00
394,LR,376000,2015-06-01 00:00:00
395,MW,368000,2015-06-01 00:00:00
396,BT,352000,2015-06-01 00:00:00
397,GI,350000,2015-06-01 00:00:00
398,MG,343000,2015-06-01 00:00:00
399,SO,342000,2015-06-01 00:00:00
400,VI,342000,2015-06-01 00:00:00
401,HT,337000,2015-06-01 00:00:00
402,FO,317000,2015-06-01 00:00:00
403,RE,292000,2015-06-01 00:00:00
404,YE,254000,2015-06-01 00:00:00
405,DM,254000,2015-06-01 00:00:00
406,KN,220000,2015-06-01 00:00:00
407,CD,218000,2015-06-01 00:00:00
408,DJ,207000,2015-06-01 00:00:00
409,LI,205000,2015-06-01 00:00:00
410,VC,205000,2015-06-01 00:00:00
411,GD,203000,2015-06-01 00:00:00
412,SC,179000,2015-06-01 00:00:00
413,SL,176000,2015-06-01 00:00:00
414,XK,158000,2015-06-01 00:00:00
415,SX,148000,2015-06-01 00:00:00
416,MP,145000,2015-06-01 00:00:00
417,MC,143000,2015-06-01 00:00:00
418,TJ,142000,2015-06-01 00:00:00
419,BJ,136000,2015-06-01 00:00:00
420,GP,136000,2015-06-01 00:00:00
421,LS,125000,2015-06-01 00:00:00
422,GM,122000,2015-06-01 00:00:00
423,MQ,121000,2015-06-01 00:00:00
424,VG,118000,2015-06-01 00:00:00
425,NC,113000,2015-06-01 00:00:00
426,SZ,113000,2015-06-01 00:00:00
427,GA,113000,2015-06-01 00:00:00
428,TC,110000,2015-06-01 00:00:00
429,AX,103000,2015-06-01 00:00:00
430,ML,100000,2015-06-01 00:00:00
431,PF,100000,2015-06-01 00:00:00
432,SS,97000,2015-06-01 00:00:00
433,TG,82000,2015-06-01 00:00:00
434,AD,79000,2015-06-01 00:00:00
435,GN,78000,2015-06-01 00:00:00
436,CV,77000,2015-06-01 00:00:00
437,MR,76000,2015-06-01 00:00:00
438,GL,76000,2015-06-01 00:00:00
439,VU,75000,2015-06-01 00:00:00
440,BF,74000,2015-06-01 00:00:00
441,BQ,64000,2015-06-01 00:00:00
442,GF,61000,2015-06-01 00:00:00
443,AS,58000,2015-06-01 00:00:00
444,TL,57000,2015-06-01 00:00:00
445,NE,53000,2015-06-01 00:00:00
446,SB,52000,2015-06-01 00:00:00
447,PW,49000,2015-06-01 00:00:00
448,CG,49000,2015-06-01 00:00:00
449,WS,48000,2015-06-01 00:00:00
450,BI,38000,2015-06-01 00:00:00
451,MF,36000,2015-06-01 00:00:00
452,FM,35000,2015-06-01 00:00:00
453,CK,32000,2015-06-01 00:00:00
454,AI,32000,2015-06-01 00:00:00
455,BL,31000,2015-06-01 00:00:00
456,GQ,30000,2015-06-01 00:00:00
457,MH,29000,2015-06-01 00:00:00
458,KI,26000,2015-06-01 00:00:00
459,FK,26000,2015-06-01 00:00:00
460,SM,21000,2015-06-01 00:00:00
461,TO,18000,2015-06-01 00:00:00
462,YT,17000,2015-06-01 00:00:00
463,VA,14000,2015-06-01 00:00:00
464,ER,12000,2015-06-01 00:00:00
465,TD,11000,2015-06-01 00:00:00
466,GW,10000,2015-06-01 00:00:00
467,MS,10000,2015-06-01 00:00:00
468,PM,7000,2015-06-01 00:00:00
469,ST,7000,2015-06-01 00:00:00
470,NR,7000,2015-06-01 00:00:00
471,IO,6000,2015-06-01 00:00:00
472,KM,6000,2015-06-01 00:00:00
473,CF,6000,2015-06-01 00:00:00
474,NU,3000,2015-06-01 00:00:00
475,TV,2000,2015-06-01 00:00:00
476,WF,2000,2015-06-01 00:00:00
477,CX,1000,2015-06-01 00:00:00
478,US,3444096000,2015-07-01 00:00:00
479,GB,730168000,2015-07-01 00:00:00
480,IN,465627000,2015-07-01 00:00:00
481,CA,332893000,2015-07-01 00:00:00
482,AU,223927000,2015-07-01 00:00:00
483,IR,184637000,2015-07-01 00:00:00
484,DE,163421000,2015-07-01 00:00:00
485,--,157968000,2015-07-01 00:00:00
486,PH,112396000,2015-07-01 00:00:00
487,FR,95318000,2015-07-01 00:00:00
488,NL,66871000,2015-07-01 00:00:00
489,CN,61686000,2015-07-01 00:00:00
490,SG,60675000,2015-07-01 00:00:00
491,MY,59190000,2015-07-01 00:00:00
492,IE,58015000,2015-07-01 00:00:00
493,BR,55881000,2015-07-01 00:00:00
494,IT,53006000,2015-07-01 00:00:00
495,SE,50427000,2015-07-01 00:00:00
496,KR,48435000,2015-07-01 00:00:00
497,JP,48187000,2015-07-01 00:00:00
498,RU,47992000,2015-07-01 00:00:00
499,ID,47187000,2015-07-01 00:00:00
500,NO,44855000,2015-07-01 00:00:00
501,ES,42053000,2015-07-01 00:00:00
502,NZ,41049000,2015-07-01 00:00:00
503,PK,38454000,2015-07-01 00:00:00
504,ZA,37790000,2015-07-01 00:00:00
505,PL,35855000,2015-07-01 00:00:00
506,MX,35715000,2015-07-01 00:00:00
507,TR,34315000,2015-07-01 00:00:00
508,GR,29462000,2015-07-01 00:00:00
509,RO,28541000,2015-07-01 00:00:00
510,FI,28197000,2015-07-01 00:00:00
511,AE,26565000,2015-07-01 00:00:00
512,TH,26455000,2015-07-01 00:00:00
513,HK,26344000,2015-07-01 00:00:00
514,IL,26270000,2015-07-01 00:00:00
515,DK,25696000,2015-07-01 00:00:00
516,TW,23685000,2015-07-01 00:00:00
517,BE,23079000,2015-07-01 00:00:00
518,VN,22205000,2015-07-01 00:00:00
519,CH,21678000,2015-07-01 00:00:00
520,SA,20346000,2015-07-01 00:00:00
521,PT,18898000,2015-07-01 00:00:00
522,UA,17445000,2015-07-01 00:00:00
523,RS,17182000,2015-07-01 00:00:00
524,BG,15943000,2015-07-01 00:00:00
525,HR,15839000,2015-07-01 00:00:00
526,HU,15790000,2015-07-01 00:00:00
527,CZ,15740000,2015-07-01 00:00:00
528,AR,15558000,2015-07-01 00:00:00
529,AT,14299000,2015-07-01 00:00:00
530,NG,13831000,2015-07-01 00:00:00
531,BD,12699000,2015-07-01 00:00:00
532,EG,12154000,2015-07-01 00:00:00
533,CO,10917000,2015-07-01 00:00:00
534,CL,9776000,2015-07-01 00:00:00
535,LK,9104000,2015-07-01 00:00:00
536,SI,8750000,2015-07-01 00:00:00
537,KE,8393000,2015-07-01 00:00:00
538,SK,7491000,2015-07-01 00:00:00
539,PE,6932000,2015-07-01 00:00:00
540,LT,6657000,2015-07-01 00:00:00
541,NP,6233000,2015-07-01 00:00:00
542,QA,6100000,2015-07-01 00:00:00
543,EE,6090000,2015-07-01 00:00:00
544,PR,6025000,2015-07-01 00:00:00
545,KW,5838000,2015-07-01 00:00:00
546,BA,5595000,2015-07-01 00:00:00
547,LV,5542000,2015-07-01 00:00:00
548,VE,5530000,2015-07-01 00:00:00
549,MA,5335000,2015-07-01 00:00:00
550,LB,5029000,2015-07-01 00:00:00
551,MK,4884000,2015-07-01 00:00:00
552,GH,4647000,2015-07-01 00:00:00
553,AL,4532000,2015-07-01 00:00:00
554,GE,4378000,2015-07-01 00:00:00
555,TT,3996000,2015-07-01 00:00:00
556,IQ,3889000,2015-07-01 00:00:00
557,DZ,3863000,2015-07-01 00:00:00
558,CY,3617000,2015-07-01 00:00:00
559,JM,3616000,2015-07-01 00:00:00
560,CR,3550000,2015-07-01 00:00:00
561,JO,3491000,2015-07-01 00:00:00
562,OM,3260000,2015-07-01 00:00:00
563,BH,3173000,2015-07-01 00:00:00
564,MT,3146000,2015-07-01 00:00:00
565,IS,3102000,2015-07-01 00:00:00
566,DO,3093000,2015-07-01 00:00:00
567,EC,3081000,2015-07-01 00:00:00
568,MU,3018000,2015-07-01 00:00:00
569,MM,2975000,2015-07-01 00:00:00
570,AF,2865000,2015-07-01 00:00:00
571,KH,2764000,2015-07-01 00:00:00
572,BY,2700000,2015-07-01 00:00:00
573,PA,2632000,2015-07-01 00:00:00
574,AZ,2575000,2015-07-01 00:00:00
575,TZ,2498000,2015-07-01 00:00:00
576,KZ,2470000,2015-07-01 00:00:00
577,TN,2179000,2015-07-01 00:00:00
578,UY,2091000,2015-07-01 00:00:00
579,LU,2020000,2015-07-01 00:00:00
580,GT,1960000,2015-07-01 00:00:00
581,AM,1872000,2015-07-01 00:00:00
582,UG,1847000,2015-07-01 00:00:00
583,MD,1632000,2015-07-01 00:00:00
584,ET,1551000,2015-07-01 00:00:00
585,BN,1519000,2015-07-01 00:00:00
586,ME,1429000,2015-07-01 00:00:00
587,ZW,1424000,2015-07-01 00:00:00
588,SV,1329000,2015-07-01 00:00:00
589,MN,1298000,2015-07-01 00:00:00
590,BB,1246000,2015-07-01 00:00:00
591,BS,1231000,2015-07-01 00:00:00
592,HN,1204000,2015-07-01 00:00:00
593,BO,1117000,2015-07-01 00:00:00
594,AO,1093000,2015-07-01 00:00:00
595,BW,1070000,2015-07-01 00:00:00
596,MO,1027000,2015-07-01 00:00:00
597,ZM,972000,2015-07-01 00:00:00
598,MV,972000,2015-07-01 00:00:00
599,JE,963000,2015-07-01 00:00:00
600,PS,912000,2015-07-01 00:00:00
601,IM,896000,2015-07-01 00:00:00
602,FJ,889000,2015-07-01 00:00:00
603,NA,862000,2015-07-01 00:00:00
604,PY,847000,2015-07-01 00:00:00
605,LY,831000,2015-07-01 00:00:00
606,GU,814000,2015-07-01 00:00:00
607,SD,795000,2015-07-01 00:00:00
608,NI,706000,2015-07-01 00:00:00
609,SY,658000,2015-07-01 00:00:00
610,SR,644000,2015-07-01 00:00:00
611,GY,587000,2015-07-01 00:00:00
612,UZ,580000,2015-07-01 00:00:00
613,CM,569000,2015-07-01 00:00:00
614,GG,533000,2015-07-01 00:00:00
615,SN,527000,2015-07-01 00:00:00
616,MZ,519000,2015-07-01 00:00:00
617,PG,512000,2015-07-01 00:00:00
618,CW,495000,2015-07-01 00:00:00
619,RW,478000,2015-07-01 00:00:00
620,GI,452000,2015-07-01 00:00:00
621,AW,445000,2015-07-01 00:00:00
622,BM,443000,2015-07-01 00:00:00
623,BZ,428000,2015-07-01 00:00:00
624,LA,419000,2015-07-01 00:00:00
625,KY,409000,2015-07-01 00:00:00
626,CI,369000,2015-07-01 00:00:00
627,SO,367000,2015-07-01 00:00:00
628,MW,362000,2015-07-01 00:00:00
629,TM,360000,2015-07-01 00:00:00
630,LC,360000,2015-07-01 00:00:00
631,HT,359000,2015-07-01 00:00:00
632,KG,344000,2015-07-01 00:00:00
633,VI,337000,2015-07-01 00:00:00
634,BT,334000,2015-07-01 00:00:00
635,CU,334000,2015-07-01 00:00:00
636,AG,327000,2015-07-01 00:00:00
637,FO,316000,2015-07-01 00:00:00
638,YE,310000,2015-07-01 00:00:00
639,PW,266000,2015-07-01 00:00:00
640,LR,261000,2015-07-01 00:00:00
641,RE,259000,2015-07-01 00:00:00
642,DM,257000,2015-07-01 00:00:00
643,MG,255000,2015-07-01 00:00:00
644,DJ,229000,2015-07-01 00:00:00
